Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
T1a,5,2015-07-31,11075,915,1,1,0,1
T1b,5,2015-07-31,12602,1414,1,1,0,1
T1c,5,2015-07-31,5425,453,1,1,0,1
T2a,5,2015-07-31,10483,1223,1,1,0,1
T2b,5,2015-07-31,6456,595,1,1,0,1
T2c,5,2015-07-31,10845,958,1,1,0,1
T3a,5,2015-07-31,9194,1021,1,1,0,1
T3b,5,2015-07-31,14927,992,1,1,0,0
T3c,5,2015-07-31,9013,864,1,1,0,1
T3d,5,2015-07-31,6058,745,1,1,0,1
T1a,4,2015-07-30,8655,709,1,1,0,1
T1b,4,2015-07-30,7241,949,1,1,0,1
T1c,4,2015-07-30,4461,393,1,1,0,1
T2a,4,2015-07-30,10463,1188,1,1,0,1
T2b,4,2015-07-30,6561,553,1,1,0,1
T2c,4,2015-07-30,8253,764,1,1,0,1
T3a,4,2015-07-30,8132,919,1,1,0,1
T3b,4,2015-07-30,14082,1015,1,1,0,0
T3c,4,2015-07-30,6082,660,1,1,0,1
T3d,4,2015-07-30,5680,660,1,1,0,1
T1a,3,2015-07-29,8527,716,1,1,0,1
T1b,3,2015-07-29,7126,933,1,1,0,1
T1c,3,2015-07-29,4565,375,1,1,0,1
T2a,3,2015-07-29,9870,1252,1,1,0,1
T2b,3,2015-07-29,6896,634,1,1,0,0
T2c,3,2015-07-29,9141,848,1,1,0,1
T3a,3,2015-07-29,7017,837,1,1,0,1
T3b,3,2015-07-29,13273,889,1,1,0,0
T3c,3,2015-07-29,6335,660,1,1,0,1
T3d,3,2015-07-29,6045,707,1,1,0,1
T1a,2,2015-07-28,8292,660,1,1,0,1
T1b,2,2015-07-28,8761,1045,1,1,0,1
T1c,2,2015-07-28,5243,416,1,1,0,1
T2a,2,2015-07-28,10318,1248,1,1,0,1
T2b,2,2015-07-28,6093,576,1,1,0,0
T2c,2,2015-07-28,9178,838,1,1,0,1
T3a,2,2015-07-28,7472,903,1,1,0,1
T3b,2,2015-07-28,13684,941,1,1,0,0
T3c,2,2015-07-28,6983,680,1,1,0,1
T3d,2,2015-07-28,6558,741,1,1,0,1
T1a,1,2015-07-27,10397,794,1,1,0,1
T1b,1,2015-07-27,9168,1107,1,1,0,1
T1c,1,2015-07-27,5274,464,1,1,0,1
T2a,1,2015-07-27,12138,1364,1,1,0,1
T2b,1,2015-07-27,7031,687,1,1,0,0
T2c,1,2015-07-27,10318,861,1,1,0,1
T3a,1,2015-07-27,8800,997,1,1,0,1
T3b,1,2015-07-27,17513,1148,1,1,0,0
T3c,1,2015-07-27,7034,753,1,1,0,1
T3d,1,2015-07-27,7729,855,1,1,0,1
T1a,7,2015-07-26,0,0,0,0,0,0
T1b,7,2015-07-26,0,0,0,0,0,0
T1c,7,2015-07-26,0,0,0,0,0,0
T2a,7,2015-07-26,0,0,0,0,0,0
T2b,7,2015-07-26,0,0,0,0,0,0
T2c,7,2015-07-26,0,0,0,0,0,0
T3a,7,2015-07-26,0,0,0,0,0,1
T3b,7,2015-07-26,0,0,0,0,0,0
T3c,7,2015-07-26,0,0,0,0,0,0
T3d,7,2015-07-26,0,0,0,0,0,0
T1a,6,2015-07-25,6090,665,1,0,0,0
T1b,6,2015-07-25,3609,516,1,0,0,0
T1c,6,2015-07-25,3681,360,1,0,0,0
T2a,6,2015-07-25,11089,1401,1,0,0,0
T2b,6,2015-07-25,3167,341,1,0,0,0
T2c,6,2015-07-25,5801,539,1,0,0,0
T3a,6,2015-07-25,7619,941,1,0,0,1
T3b,6,2015-07-25,12912,977,1,0,0,0
T3c,6,2015-07-25,4677,560,1,0,0,0
T3d,6,2015-07-25,3034,418,1,0,0,0
T1a,5,2015-07-24,5759,603,1,0,0,1
T1b,5,2015-07-24,4998,734,1,0,0,1
T1c,5,2015-07-24,4559,413,1,0,0,1
T2a,5,2015-07-24,9004,1168,1,0,0,1
T2b,5,2015-07-24,4703,534,1,0,0,0
