,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
2013-01-01,20,0,0,0,0,10,10
2013-01-02,30,61926,7490,9,0,0,10
2013-01-03,40,53588,6650,9,0,0,10
2013-01-04,50,56578,6784,9,0,0,10
2013-01-05,60,54938,6747,9,0,0,0
2013-01-06,70,0,0,0,0,2,0
2013-01-07,10,82398,9074,9,10,0,0
2013-01-08,20,68766,7861,9,10,0,0
2013-01-09,30,62671,6985,9,10,0,0
2013-01-10,40,62306,7417,9,10,0,0
2013-01-11,50,64696,7607,9,10,0,0
2013-01-12,60,54553,6672,9,0,0,0
2013-01-13,70,0,0,0,0,0,0
2013-01-14,10,52894,6701,9,0,0,0
2013-01-15,20,49477,6331,9,0,0,0
2013-01-16,30,49042,6198,9,0,0,0
2013-01-17,40,46826,6245,9,0,0,0
2013-01-18,50,51815,6433,9,0,0,0
2013-01-19,60,55522,6533,9,0,0,0
2013-01-20,70,0,0,0,0,0,0
2013-01-21,10,73110,7977,9,10,0,0
2013-01-22,20,63484,7248,9,10,0,0
2013-01-23,30,60426,7070,9,10,0,0
2013-01-24,40,59205,6868,9,10,0,0
2013-01-25,50,63179,7297,9,10,0,0
2013-01-26,60,53177,6255,9,0,0,0
2013-01-27,70,0,0,0,0,0,0
2013-01-28,10,51009,6796,9,0,0,0
2013-01-29,20,49456,6265,9,0,0,0
2013-01-30,30,51224,6357,9,0,0,0
2013-01-31,40,60562,7175,9,0,0,1
2013-02-01,50,63067,7427,9,0,0,1
2013-02-02,60,60680,7079,9,0,0,0
2013-02-03,70,0,0,0,0,0,0
2013-02-04,10,78688,8518,9,10,0,3
2013-02-05,20,64341,7349,9,10,0,3
2013-02-06,30,63125,7325,9,10,0,3
2013-02-07,40,60588,7074,9,10,0,3
2013-02-08,50,63181,7469,9,10,0,3
2013-02-09,60,52625,6350,9,0,0,0
2013-02-10,70,0,0,0,0,0,0
2013-02-11,10,53675,6877,9,0,0,1
2013-02-12,20,47569,6256,9,0,0,1
2013-02-13,30,54218,6728,9,0,0,1
2013-02-14,40,52459,6651,9,0,0,1
2013-02-15,50,52982,6565,9,0,0,1
2013-02-16,60,53866,6544,9,0,0,0
2013-02-17,70,0,0,0,0,0,0
2013-02-18,10,78763,8727,9,10,0,0
2013-02-19,20,65703,7478,9,10,0,0
2013-02-20,30,61015,7070,9,10,0,0
2013-02-21,40,59271,7090,9,10,0,0
2013-02-22,50,62959,7230,9,10,0,0
2013-02-23,60,52229,6232,9,0,0,0
2013-02-24,70,0,0,0,0,0,0
2013-02-25,10,50111,6687,9,0,0,0
2013-02-26,20,48949,6444,9,0,0,0
2013-02-27,30,53498,6654,9,0,0,0
