,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-01-01,47911.588925,35022.591789354214,73618.4359227143,47911.588925,47911.588925,6898.957136425105,6898.957136425105,6898.957136425105,11375.907772666245,11375.907772666245,11375.907772666245,-4476.95063624114,-4476.95063624114,-4476.95063624114,0.0,0.0,0.0,54810.5460614251
1,2013-01-02,47952.02761336344,31104.631673303233,70901.2285221932,47952.02761336344,47952.02761336344,3204.0688184933815,3204.0688184933815,3204.0688184933815,7703.851358684742,7703.851358684742,7703.851358684742,-4499.782540191361,-4499.782540191361,-4499.782540191361,0.0,0.0,0.0,51156.09643185682
2,2013-01-03,47992.46630172688,28737.844811547857,65478.500482423435,47992.46630172688,47992.46630172688,-148.29117695455145,-148.29117695455145,-148.29117695455145,4272.411297470496,4272.411297470496,4272.411297470496,-4420.7024744250475,-4420.7024744250475,-4420.7024744250475,0.0,0.0,0.0,47844.17512477233
3,2013-01-04,48032.90499009033,32123.32585792354,71862.72097518326,48032.90499009033,48032.90499009033,5205.057942544785,5205.057942544785,5205.057942544785,9451.771069107788,9451.771069107788,9451.771069107788,-4246.713126563004,-4246.713126563004,-4246.713126563004,0.0,0.0,0.0,53237.96293263511
4,2013-01-05,48073.34367845378,30568.69388531481,68196.40111116978,48073.34367845378,48073.34367845378,955.3696897567763,955.3696897567763,955.3696897567763,4941.860809024074,4941.860809024074,4941.860809024074,-3986.4911192672976,-3986.4911192672976,-3986.4911192672976,0.0,0.0,0.0,49028.713368210556
5,2013-01-06,48113.78236681721,-31145.17563708022,7353.738751528148,48113.78236681721,48113.78236681721,-60429.13969394171,-60429.13969394171,-60429.13969394171,-56778.99994915485,-56778.99994915485,-56778.99994915485,-3650.13974478685,-3650.13974478685,-3650.13974478685,0.0,0.0,0.0,-12315.357327124497
6,2013-01-07,48154.22105518066,44542.74023947875,82810.1463269497,48154.22105518066,48154.22105518066,15784.283447466942,15784.283447466942,15784.283447466942,19033.197641957977,19033.197641957977,19033.197641957977,-3248.914194491036,-3248.914194491036,-3248.914194491036,0.0,0.0,0.0,63938.5045026476
7,2013-01-08,48194.6597435441,37701.649385895085,75866.61293535243,48194.6597435441,48194.6597435441,8580.981132993658,8580.981132993658,8580.981132993658,11375.907772683513,11375.907772683513,11375.907772683513,-2794.926639689852,-2794.926639689852,-2794.926639689852,0.0,0.0,0.0,56775.64087653776
8,2013-01-09,48235.09843190754,33475.36466258736,74405.29402164226,48235.09843190754,48235.09843190754,5403.012444430827,5403.012444430827,5403.012444430827,7703.8513587714215,7703.8513587714215,7703.8513587714215,-2300.838914340595,-2300.838914340595,-2300.838914340595,0.0,0.0,0.0,53638.11087633837
9,2013-01-10,48275.53712027099,31373.098529856972,69402.25878875295,48275.53712027099,48275.53712027099,2492.8605625507344,2492.8605625507344,2492.8605625507344,4272.411297661287,4272.411297661287,4272.411297661287,-1779.5507351105523,-1779.5507351105523,-1779.5507351105523,0.0,0.0,0.0,50768.39768282172
10,2013-01-11,48315.97580863444,37517.836331643746,76236.86524800531,48315.97580863444,48315.97580863444,8207.879701891052,8207.879701891052,8207.879701891052,9451.771069198596,9451.771069198596,9451.771069198596,-1243.891367307544,-1243.891367307544,-1243.891367307544,0.0,0.0,0.0,56523.85551052549
11,2013-01-12,48356.41449699787,34042.960836719874,72399.16983453734,48356.41449699787,48356.41449699787,4235.538399682748,4235.538399682748,4235.538399682748,4941.860809102171,4941.860809102171,4941.860809102171,-706.3224094194235,-706.3224094194235,-706.3224094194235,0.0,0.0,0.0,52591.952896680625
12,2013-01-13,48396.85318536132,-27544.376528653218,9326.266014720368,48396.85318536132,48396.85318536132,-56957.658882668075,-56957.658882668075,-56957.658882668075,-56778.999949170146,-56778.999949170146,-56778.999949170146,-178.65893349793836,-178.65893349793836,-178.65893349793836,0.0,0.0,0.0,-8560.805697306758
13,2013-01-14,48437.29187372476,50279.85862257686,88727.36241106868,48437.29187372476,48437.29187372476,19361.382044459126,19361.382044459126,19361.382044459126,19033.197641930226,19033.197641930226,19033.197641930226,328.184402528898,328.184402528898,328.184402528898,0.0,0.0,0.0,67798.6739181839
14,2013-01-15,48477.7305620882,41671.30055413445,79718.59919128219,48477.7305620882,48477.7305620882,12180.324214676999,12180.324214676999,12180.324214676999,11375.907772700775,11375.907772700775,11375.907772700775,804.4164419762236,804.4164419762236,804.4164419762236,0.0,0.0,0.0,60658.0547767652
